File Name,A_precision,A_recall,A_f1-score,A_Jaccard Index,A_accuracy,A_FDR,B_precision,B_recall,B_f1-score,B_Jaccard Index,B_accuracy,B_FDR,No. Interictal Events,No. Ictal Events,SNR,RMS,Kurtosis,Skewness,MAD,Peak-to-Peak,Entropy,PSD,Session,Detector,Precision_Category,Quality Features
20171005_slice01_01_CTRL1_42,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,4,13.62555539814917,19.65701999286769,25.71072197247081,2.698613775944509,10.64379914055834,368,0.7782456566176607,0.1742863020048684,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_65,0.4,1.0,0.571,0.4,0.4,0.6,0.944,0.119,0.211,0.118,0.118,0.056,187,4,11.78993309255457,42.11391528738849,16.62785919212444,-0.07446429010585219,24.5757937973986,874,0.4013790564799853,1.327021243741053,20171005,0,0,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_56,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.286,0.387,0.24,0.24,0.4,26,4,24.87318401279093,96.8846806646954,31.94782228237263,2.746152253193717,35.0020226720625,1632,0.2123685198507409,5.255784250990136,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_64,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,10.30707353179075,158.7247958364834,10.72861816835893,0.2566390196526483,99.85506256782223,2543,0.1786257628831249,16.11474186683827,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_74,0.211,1.0,0.348,0.211,0.211,0.789,0.0,0.0,0.0,0.0,0.0,1.0,0,4,13.04666651254922,113.7100764700883,18.65600330961957,1.002824076494149,64.36028695079861,2024,0.2076594019474625,8.687842259778815,20171005,0,0,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_43,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31,4,14.35773450098015,23.55555125655097,31.28281271495494,3.276220921675213,12.34857386362222,452,0.6586698302375358,0.2831724667734177,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_55,1.0,1.0,1.0,1.0,1.0,0.0,0.556,0.238,0.333,0.2,0.2,0.444,28,4,27.1270347438299,120.1651909525661,31.34270223284302,2.336007887434762,41.75938004088888,1960,0.1849678663292313,9.704834911757185,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22,4,6.766083002697552,14.1657773642442,8.991160893571706,0.549164122209312,9.79659465035833,399,0.710136231739356,0.1313307338628514,20171005,0,0,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178,4,10.74588663640014,19.66552302465748,15.08443271402035,1.725393482567938,12.14458833451388,357,0.832106813063754,0.2328509324406786,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_58,1.0,1.0,1.0,1.0,1.0,0.0,0.571,0.222,0.32,0.19,0.19,0.429,22,4,24.93971953973737,97.39208585660336,32.28607595205995,2.8592490598358,34.88687602353055,1633,0.21352150871662,5.416748363099944,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_32,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,4,9.365299819569184,26.36070661673039,13.12620785458117,1.418486414315749,17.49311080755555,479,0.6826073779839683,0.4839766965881932,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171005_slice01_01_CTRL1_53,1.0,0.25,0.4,0.25,0.25,0.0,0.2,0.097,0.13,0.07,0.07,0.8,32,4,11.64595571793224,18.35038716666945,32.01299398142368,2.893599133546991,10.94582084668889,546,0.5341448722038806,0.2315202627629697,20171005,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_87,1.0,1.0,1.0,1.0,1.0,0.0,0.071,0.1,0.083,0.043,0.043,0.929,10,8,16.22553907967927,93.6621791155817,15.27686587151934,2.525269455741595,50.21225001709976,1375,0.284493125461202,3.776695792360711,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_76,0.889,1.0,0.941,0.889,0.889,0.111,0.176,0.13,0.15,0.081,0.081,0.824,25,8,13.87595868163707,70.448134880539,18.22230300786868,2.866923529653036,39.73658317731397,1113,0.3384615770704372,2.979736051686349,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_53,1.0,1.0,1.0,1.0,1.0,0.0,0.704,0.704,0.704,0.543,0.543,0.296,32,8,18.96787358211095,93.4865507841903,34.28047089842448,3.821903753020318,40.37479682236245,1954,0.1898599124110482,6.514477425744875,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_74,1.0,1.0,1.0,1.0,1.0,0.0,0.833,0.926,0.877,0.781,0.781,0.167,32,8,21.34271544826959,147.0056343094685,24.19933768904794,3.366430610841581,65.09690756027827,1949,0.2042043800406989,13.35687437187277,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_75,0.889,1.0,0.941,0.889,0.889,0.111,0.412,0.269,0.326,0.194,0.194,0.588,28,8,18.31083488289184,110.6255581556921,23.67890013069934,3.557884058687169,52.52861902117817,1513,0.2581907799300729,7.3348371568478,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_73,1.0,1.0,1.0,1.0,1.0,0.0,0.55,0.344,0.423,0.268,0.268,0.45,35,8,15.46584083276055,70.11149564032863,32.0738991832625,4.263273365354063,35.37738623698429,1325,0.2767044224174977,3.400432579984669,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_41,0.75,0.375,0.5,0.333,0.333,0.25,0.143,0.087,0.108,0.057,0.057,0.857,23,8,6.165680964987365,23.94537720061137,4.134094947868606,0.8346987154126349,18.40272837692983,412,0.7863414806807894,0.4342429167483766,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_31,0.889,1.0,0.941,0.889,0.889,0.111,0.174,0.143,0.157,0.085,0.085,0.826,29,8,7.785621645749622,28.36734453171049,5.854657312160766,1.03517606069589,20.74060492143852,487,0.6846979420294944,0.5509667334774767,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
