Folder,A_precision,A_recall,A_f1-score,A_Jaccard Index,A_accuracy,A_FDR,B_precision,B_recall,B_f1-score,B_Jaccard Index,B_accuracy,B_FDR,Detector
20171005,0.8009166666666667,0.8541666666666666,0.7765833333333334,0.7384166666666667,0.7384166666666667,0.11575,0.23925,0.0801666666666666,0.1150833333333333,0.0681666666666666,0.0681666666666666,0.7607500000000001,0
20170420,0.956625,0.954,0.9503125,0.923625,0.923625,0.043375,0.5025625,0.4758125,0.4838125,0.36,0.36,0.4974375,0
20171107,0.9166666666666666,0.8958333333333334,0.90475,0.8958333333333334,0.8958333333333334,0.0,0.3301666666666666,0.6445833333333334,0.4324166666666666,0.2934166666666666,0.2934166666666666,0.6698333333333334,0
20171128,0.8823529411764706,0.849,0.8622941176470589,0.849,0.849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20170606,0.8610000000000001,1.0,0.9211666666666666,0.8610000000000001,0.8610000000000001,0.139,0.5758333333333333,0.5261666666666666,0.5339999999999999,0.4163333333333333,0.4163333333333333,0.4241666666666666,0
20170926,0.9375,0.9296875,0.9333125,0.9296875,0.9296875,0.0,0.526,0.3154375,0.3901874999999999,0.28975,0.28975,0.474,0
20171124,0.9666666666666668,1.0,0.9815,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0
20170224,1.0,1.0,1.0,1.0,1.0,0.0,0.912,0.3915,0.42,0.3385,0.3385,0.088,0
20171005,0.9536666666666668,0.9791666666666666,0.956,0.9328333333333334,0.9328333333333334,0.0463333333333333,0.2758333333333334,0.2574166666666667,0.2304166666666667,0.15075,0.15075,0.6408333333333334,1
20170420,0.9375,0.8416874999999999,0.8636874999999999,0.8416874999999999,0.8416874999999999,0.0,0.347125,0.3733125,0.35775,0.2565625,0.2565625,0.6528750000000001,1
20171107,0.7821666666666666,1.0,0.82,0.7821666666666666,0.7821666666666666,0.2178333333333333,0.2590833333333334,0.7849166666666667,0.3650833333333332,0.2333333333333333,0.2333333333333333,0.7409166666666667,1
20171128,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20170505,0.7963076923076922,0.7816923076923078,0.7369230769230768,0.6271538461538462,0.6271538461538462,0.2036923076923076,0.731,0.8388461538461538,0.767,0.6714615384615384,0.6714615384615384,0.192076923076923,1
